frame,id,x1,y1,x2,y2
45,9,595,166,618,229
45,10,839,219,863,286
45,11,1025,369,1072,455
45,12,1024,400,1060,456
45,13,671,421,738,509
45,14,799,107,821,161
45,15,797,59,814,102
45,16,428,430,485,537
45,19,696,457,724,511
45,21,607,403,659,485
45,22,902,236,937,311
45,23,1221,285,1264,372
45,24,1024,382,1063,457
45,25,1041,368,1076,447
46,1,647,462,659,477
46,2,661,167,680,237
46,3,1004,206,1028,270
46,4,482,397,520,498
46,5,237,272,263,358
46,6,832,217,858,287
46,7,945,98,964,146
46,8,1171,149,1205,203
46,9,588,167,616,230
46,10,832,218,857,287
46,11,799,126,813,162
46,12,1024,400,1060,456
46,13,667,418,726,505
46,14,799,108,819,152
46,15,791,59,810,102
46,16,427,467,470,539
46,21,607,402,659,485
46,22,903,236,936,312
46,23,1220,287,1257,373
46,24,1022,368,1072,452
46,25,451,432,481,495
47,1,654,456,665,470
47,2,657,167,677,236
47,3,999,206,1023,271
47,4,472,399,513,501
47,5,233,272,257,357
47,6,824,217,853,288
47,7,943,98,961,146
47,8,1169,149,1205,204
47,9,583,167,614,230
47,10,832,218,857,287
47,11,799,126,813,162
47,12,1024,400,1060,456
47,13,664,414,716,498
47,14,797,107,816,161
47,15,786,60,806,104
47,16,422,464,469,541
47,21,611,399,654,486
47,22,903,236,935,311
47,23,1215,288,1251,374
47,24,1018,369,1068,456
47,25,449,433,475,499
48,1,657,452,675,470
48,2,653,166,673,237
48,3,992,205,1018,272
48,4,469,402,505,504
48,5,227,273,252,359
48,6,815,218,849,289
48,7,940,98,958,147
48,8,1166,149,1204,204
48,9,579,167,611,230
48,10,832,218,857,287
48,11,799,126,813,162
48,13,680,410,707,467
48,14,793,107,812,162
48,15,781,61,803,104
48,16,418,466,463,543
48,19,664,450,694,494
48,21,614,396,656,481
48,22,903,236,934,312
48,23,1203,289,1245,372
48,24,1014,370,1065,459
48,25,444,434,470,504
49,1,657,452,675,470
49,2,645,168,668,237
49,3,985,205,1013,273
49,4,463,405,497,505
49,5,219,273,245,359
49,6,806,219,843,292
49,7,937,99,955,147
49,8,1163,148,1205,205
49,9,577,168,607,231
49,10,806,220,843,292
49,13,676,407,701,470
49,14,791,109,809,163
49,15,777,61,799,104
49,16,411,470,461,544
49,19,656,443,688,495
49,21,618,395,655,474
49,22,903,236,931,312
49,23,1198,289,1239,374
49,24,1005,373,1060,461
49,25,444,434,470,504
50,1,657,452,675,470
50,2,636,168,664,238
50,3,978,208,1008,275
50,4,459,405,490,506
50,5,210,274,239,360
50,6,800,220,837,292
50,7,933,100,950,148
50,8,1162,148,1203,205
50,9,572,169,602,231
50,10,806,220,843,292
50,13,672,403,696,466
50,14,785,109,804,164
50,15,772,62,793,105
50,16,406,472,458,544
50,19,651,439,683,494
50,21,616,394,650,473
50,22,901,237,928,312
50,23,1190,289,1231,377
50,24,997,375,1055,464
50,25,433,442,461,511
51,2,629,168,660,238
51,3,973,209,1002,276
51,4,452,403,485,505
51,5,201,273,233,361
51,6,793,222,828,293
51,7,929,102,946,149
51,8,1161,147,1200,205
51,9,568,169,597,232
51,10,793,222,828,293
51,11,899,238,925,313
51,13,663,400,690,462
51,14,778,110,799,165
51,15,769,62,788,105
51,16,401,442,456,544
51,19,641,414,686,493
51,21,613,394,653,473
51,22,898,238,925,313
51,23,1178,290,1223,379
51,24,993,378,1049,466
51,25,646,400,690,464
52,2,621,170,655,239
52,3,968,212,996,276
52,4,445,401,479,506
52,5,194,275,227,362
52,6,785,224,818,294
52,7,925,104,942,151
52,8,1161,147,1196,206
52,9,563,169,592,232
52,10,785,224,818,294
52,11,899,238,925,313
52,13,663,400,690,462
52,14,773,111,794,165
52,15,764,63,783,105
52,16,397,441,451,545
52,19,641,414,686,493
52,21,608,392,653,477
52,22,895,239,922,315
52,23,1168,292,1214,380
52,24,989,381,1043,468
52,25,645,397,685,487
53,2,615,171,650,239
53,3,962,212,989,277
53,4,436,401,469,504
53,5,187,276,222,362
53,6,777,224,811,294
53,7,919,104,937,152
53,8,1162,147,1190,206
53,9,558,170,584,233
53,10,777,224,811,295
53,11,899,238,925,313
53,13,663,400,690,462
53,14,767,112,788,166
53,15,759,63,778,106
53,16,395,442,444,546
53,19,615,392,668,480
53,21,607,390,653,473
53,22,891,240,918,316
53,23,1159,296,1205,382
53,24,982,381,1041,471
53,25,633,396,679,483
54,2,610,172,644,241
54,3,956,213,982,278
54,4,430,399,459,467
54,5,181,277,216,363
54,6,770,225,804,297
54,7,913,107,931,153
54,8,1160,148,1186,207
54,9,552,171,575,233
54,10,770,224,804,297
54,14,762,113,783,167
54,15,753,64,772,107
54,16,391,440,440,547
54,19,615,392,668,480
54,21,608,390,656,471
54,22,885,241,913,317
54,23,1152,299,1195,384
54,24,977,382,1037,473
54,25,626,397,675,479
55,2,605,173,638,242
55,3,951,213,976,279
55,4,419,397,449,463
55,5,174,277,211,364
55,6,766,226,795,299
55,7,907,109,926,155
55,8,1157,149,1180,208
55,9,546,171,565,235
55,10,770,224,804,297
55,13,410,442,438,501
55,14,756,115,776,168
55,15,747,64,765,107
55,16,388,467,434,548
55,19,625,389,671,477
55,21,614,390,646,474
55,22,879,242,909,318
55,23,1137,301,1184,383
55,24,976,381,1035,474
55,25,615,390,660,472
56,2,597,174,631,242
56,3,944,214,969,280
56,4,409,393,442,461
56,5,167,278,204,364
56,6,756,226,786,301
56,7,901,110,920,156
56,8,1151,151,1175,210
56,9,538,172,556,235
56,10,770,224,804,297
56,13,410,442,438,501
56,14,750,116,770,169
56,15,740,67,759,109
56,16,383,441,430,547
56,19,613,388,667,478
56,21,614,390,646,474
56,22,873,243,904,319
56,23,1127,303,1177,385
56,24,975,381,1034,474
56,25,615,390,660,472
57,2,592,175,623,243
57,3,936,215,962,282
57,4,400,392,435,456
57,5,162,279,197,365
57,6,745,228,778,303
57,7,895,111,915,157
57,8,1145,153,1169,211
57,9,531,175,548,238
57,13,410,442,438,501
57,14,743,117,763,170
57,15,734,67,753,110
57,16,379,444,425,547
57,19,608,386,663,475
57,21,614,390,646,474
57,22,867,245,900,321
57,23,1121,303,1167,388
57,24,978,380,1032,475
57,25,615,390,660,472
58,2,584,175,615,244
58,3,928,216,955,284
58,4,390,391,425,462
58,5,154,279,189,365
58,6,745,228,778,303
58,7,889,113,908,158
58,8,1137,157,1164,212
58,9,521,175,540,238
58,10,736,230,768,305
58,14,737,117,756,171
58,15,727,67,747,112
58,16,372,445,423,552
58,19,601,389,645,473
58,21,632,383,665,463
58,22,862,246,895,321
58,23,1119,303,1158,391
58,24,982,381,1030,473
59,2,578,176,605,244
